algo,n,delta,alpha,trial,seed,max_elements,inserted,insert_fail,insert_ns_total,insert_ns_per_op,insert_probes_mean,insert_probes_p50,insert_probes_p90,insert_probes_p99,insert_probes_max,hit_q,hit_found,hit_ns_total,hit_ns_per_op,hit_probes_mean,hit_probes_p50,hit_probes_p90,hit_probes_p99,hit_probes_max,miss_q,miss_found,miss_ns_per_op,miss_probes_mean,miss_probes_p50,miss_probes_p90,miss_probes_p99,miss_probes_max,notes
uniform,50000,0.2,0.8,0,0,40000,40000,0,306193042,7654.82605,2.0203,1.0,4.0,10.0,31.0,3000,3000,15962625,5320.875,2.056,1.0,4.0,11.0,26.0,0,0,nan,nan,nan,nan,nan,nan,
elastic,50000,0.2,0.8,0,0,40000,18758,1,34922625,1861.74565518712,1.8450261221878665,1.0,4.0,9.0,26.0,3000,3000,2448500,816.1666666666666,377.32033333333334,89.0,1289.0,5145.0,21577.0,0,0,nan,nan,nan,nan,nan,nan,
funnel,50000,0.2,0.8,0,0,40000,40000,0,64483958,1612.09895,5.81035,5.0,12.0,17.0,21.0,3000,3000,5234875,1744.9583333333333,5.903333333333333,5.0,12.0,17.0,20.0,0,0,nan,nan,nan,nan,nan,nan,
uniform,50000,0.1,0.9,0,0,45000,45000,0,289947625,6443.280555555555,2.585577777777778,1.0,5.0,18.0,64.0,3000,3000,19603167,6534.389,2.577,1.0,6.0,17.0,46.0,0,0,nan,nan,nan,nan,nan,nan,
elastic,50000,0.1,0.9,0,0,45000,18758,1,33984583,1811.7380850836976,1.8450261221878665,1.0,4.0,9.0,26.0,3000,3000,2294458,764.8193333333334,377.32033333333334,89.0,1289.0,5145.0,21577.0,0,0,nan,nan,nan,nan,nan,nan,
funnel,50000,0.1,0.9,0,0,45000,45000,0,82543417,1834.2981555555555,9.007288888888889,7.0,19.0,28.0,34.0,3000,3000,5872625,1957.5416666666667,8.980666666666666,7.0,19.0,28.0,32.0,0,0,nan,nan,nan,nan,nan,nan,
uniform,50000,0.05,0.95,0,0,47500,47500,0,395896917,8334.671936842105,3.1770526315789476,1.0,7.0,27.0,104.0,3000,3000,25774041,8591.347,3.209,1.0,7.0,26.0,84.0,0,0,nan,nan,nan,nan,nan,nan,
elastic,50000,0.05,0.95,0,0,47500,18758,1,33971292,1811.0295340654654,1.8450261221878665,1.0,4.0,9.0,26.0,3000,3000,2268291,756.097,377.32033333333334,89.0,1289.0,5145.0,21577.0,0,0,nan,nan,nan,nan,nan,nan,
funnel,50000,0.05,0.95,0,0,47500,47500,0,94183959,1982.8201894736842,12.432378947368422,9.0,27.0,42.0,51.0,3000,3000,6312708,2104.236,12.253,9.0,26.0,42.0,49.0,0,0,nan,nan,nan,nan,nan,nan,
uniform,50000,0.02,0.98,0,0,49000,49000,0,503749209,10280.596102040816,4.034714285714286,1.0,8.0,43.0,229.0,3000,3000,32605416,10868.472,4.166666666666667,1.0,9.0,44.00999999999976,134.0,0,0,nan,nan,nan,nan,nan,nan,
elastic,50000,0.02,0.98,0,0,49000,18758,1,36669667,1954.881490564026,1.8450261221878665,1.0,4.0,9.0,26.0,3000,3000,2401583,800.5276666666666,377.32033333333334,89.0,1289.0,5145.0,21577.0,0,0,nan,nan,nan,nan,nan,nan,
funnel,50000,0.02,0.98,0,0,49000,49000,0,108415500,2212.561224489796,17.468244897959185,12.0,39.0,67.0,81.0,3000,3000,7160542,2386.847333333333,17.349,12.0,38.0,67.00999999999976,79.0,0,0,nan,nan,nan,nan,nan,nan,
uniform,50000,0.2,0.8,1,0,40000,40000,0,219803917,5495.097925,2.008225,1.0,4.0,10.0,35.0,3000,3000,16842333,5614.111,2.0103333333333335,1.0,4.0,10.0,24.0,0,0,nan,nan,nan,nan,nan,nan,
elastic,50000,0.2,0.8,1,0,40000,18758,1,34502000,1839.3218893272203,1.8303657106301312,1.0,4.0,9.0,38.0,3000,3000,2247792,749.264,338.129,89.0,345.0,5145.0,20745.0,0,0,nan,nan,nan,nan,nan,nan,
funnel,50000,0.2,0.8,1,0,40000,40000,0,65696875,1642.421875,5.82325,5.0,12.0,17.0,20.0,3000,3000,5288334,1762.778,5.792,5.0,12.0,16.0,20.0,0,0,nan,nan,nan,nan,nan,nan,
uniform,50000,0.1,0.9,1,0,45000,45000,0,310432958,6898.510177777778,2.5511555555555554,1.0,5.0,17.0,86.0,3000,3000,20836916,6945.638666666667,2.541,1.0,5.0,16.0,53.0,0,0,nan,nan,nan,nan,nan,nan,
elastic,50000,0.1,0.9,1,0,45000,18758,1,34787458,1854.5398230088495,1.8303657106301312,1.0,4.0,9.0,38.0,3000,3000,2268125,756.0416666666666,338.129,89.0,345.0,5145.0,20745.0,0,0,nan,nan,nan,nan,nan,nan,
funnel,50000,0.1,0.9,1,0,45000,45000,0,83066833,1845.9296222222222,9.028,7.0,19.0,28.0,34.0,3000,3000,5890167,1963.389,8.867666666666667,7.0,19.0,27.009999999999764,34.0,0,0,nan,nan,nan,nan,nan,nan,
uniform,50000,0.05,0.95,1,0,47500,47500,0,400844042,8438.821936842105,3.153642105263158,1.0,7.0,26.0,133.0,3000,3000,26116541,8705.513666666666,3.2256666666666667,1.0,7.0,27.019999999999527,77.0,0,0,nan,nan,nan,nan,nan,nan,
elastic,50000,0.05,0.95,1,0,47500,18758,1,34550584,1841.9119309094785,1.8303657106301312,1.0,4.0,9.0,38.0,3000,3000,2215333,738.4443333333334,338.129,89.0,345.0,5145.0,20745.0,0,0,nan,nan,nan,nan,nan,nan,
funnel,50000,0.05,0.95,1,0,47500,47500,0,98555542,2074.8535157894735,12.427136842105263,9.0,27.0,42.0,50.0,3000,3000,6883916,2294.6386666666667,12.456666666666667,9.0,27.0,43.0,49.0,0,0,nan,nan,nan,nan,nan,nan,
