algo,n,delta,alpha,trials,inserted_mean,inserted_std,max_elements,insert_fail_rate,insert_ns_per_op_mean,insert_ns_per_op_std,insert_probes_p99_mean,insert_probes_p99_std,hit_ns_per_op_mean,hit_ns_per_op_std,hit_probes_p99_mean,hit_probes_p99_std,inserted_frac_mean
elastic,50000,0.02,0.98,3,18758.0,0.0,49000.0,1.0,1878.7591427657533,66.11264554745996,9.0,0.0,764.7545555555556,32.81761877970991,5145.0,0.0,0.38281632653061226
elastic,50000,0.05,0.95,3,18758.0,0.0,47500.0,1.0,1826.4540640437856,15.441225411825759,9.0,0.0,744.6156666666666,9.952448699245377,5145.0,0.0,0.39490526315789476
elastic,50000,0.1,0.9,3,18758.0,0.0,45000.0,1.0,1837.5108042790632,22.70102234982327,9.0,0.0,758.5369999999999,5.478857981165188,5145.0,0.0,0.41684444444444446
elastic,50000,0.2,0.8,3,18758.0,0.0,40000.0,1.0,1883.2194619184702,57.7128169884242,9.0,0.0,773.9768888888889,36.71611275317285,5145.0,0.0,0.46895
funnel,50000,0.02,0.98,3,49000.0,0.0,49000.0,0.0,2233.101761904762,18.14502931213305,66.33666666666734,0.5744852768632689,2398.7361111111113,10.986491707412595,66.00333333333326,1.7349447637700435,1.0
funnel,50000,0.05,0.95,3,47500.0,0.0,47500.0,0.0,2027.841235087719,46.04896362642781,42.0,0.0,2184.8610000000003,98.49214358910962,42.0,1.0,1.0
funnel,50000,0.1,0.9,3,45000.0,0.0,45000.0,0.0,1842.7851851851854,7.4317041055374125,28.0,0.0,1972.4907777777778,21.03287353256893,27.66999999999992,0.5715767664978663,1.0
funnel,50000,0.2,0.8,3,40000.0,0.0,40000.0,0.0,1630.9670083333333,16.464704769717496,16.666666666666668,0.5773502691896263,1750.8565555555554,10.324462914916348,16.666666666666668,0.5773502691896255,1.0
uniform,50000,0.02,0.98,3,49000.0,0.0,49000.0,0.0,10577.19331292517,297.671993497115,42.666666666666664,0.5773502691896247,10686.504555555555,359.44887262930934,42.33666666666659,2.0856733525010425,1.0
uniform,50000,0.05,0.95,3,47500.0,0.0,47500.0,0.0,8399.024863157894,56.24987154516827,26.333333333333332,0.5773502691896255,8583.50911111111,126.10631320011662,25.339999999999844,2.0896889720719702,1.0
uniform,50000,0.1,0.9,3,45000.0,0.0,45000.0,0.0,6767.43085925926,282.4284090303779,17.666666666666668,0.5773502691896255,6927.560111111111,384.4507653890929,16.666666666666668,0.5773502691896255,1.0
uniform,50000,0.2,0.8,3,40000.0,0.0,40000.0,0.0,6204.78125,1255.8693119616926,10.0,0.0,5527.134222222223,179.354576435845,10.666666666666666,0.5773502691896258,1.0
