algo,n,delta,alpha,trial,seed,max_elements,inserted,insert_fail,insert_ns_total,insert_ns_per_op,insert_probes_mean,insert_probes_p50,insert_probes_p90,insert_probes_p99,insert_probes_max,hit_q,hit_found,hit_ns_total,hit_ns_per_op,hit_probes_mean,hit_probes_p50,hit_probes_p90,hit_probes_p99,hit_probes_max,miss_q,miss_found,miss_ns_per_op,miss_probes_mean,miss_probes_p50,miss_probes_p90,miss_probes_p99,miss_probes_max,notes
uniform,16384,0.05,0.95,0,0,15565,15565,0,196088375,12598.032444587216,3.2040475425634436,1.0,7.0,25.0,91.0,800,800,5200666,6500.8325,3.10875,1.0,7.0,24.00999999999999,66.0,0,0,nan,nan,nan,nan,nan,nan,
elastic,16384,0.05,0.95,0,0,15565,6147,1,11588708,1885.2624044249228,1.8327639498942574,1.0,4.0,9.0,19.0,800,800,593042,741.3025,333.82,89.0,345.0,5145.0,5449.0,0,0,nan,nan,nan,nan,nan,nan,
funnel,16384,0.05,0.95,0,0,15565,15565,0,32216625,2069.812078380983,12.431994860263412,9.0,27.0,42.0,49.0,800,800,1775208,2219.01,12.31375,9.0,27.0,42.0,46.0,0,0,nan,nan,nan,nan,nan,nan,
uniform,65536,0.05,0.95,0,0,62260,62260,0,374970708,6022.6583360102795,3.133135239318985,1.0,7.0,25.0,107.0,800,800,4899667,6124.58375,3.12375,1.0,7.0,26.00999999999999,61.0,0,0,nan,nan,nan,nan,nan,nan,
elastic,65536,0.05,0.95,0,0,62260,24579,1,44498333,1810.4208063794297,1.838439318117092,1.0,4.0,9.0,27.0,800,800,691542,864.4275,379.22,89.0,1289.0,5145.0,5401.0,0,0,nan,nan,nan,nan,nan,nan,
funnel,65536,0.05,0.95,0,0,62260,62260,0,126899375,2038.2167523289431,12.437905557340187,9.0,27.0,42.0,50.0,800,800,1918208,2397.76,12.09375,9.0,26.0,42.0,47.0,0,0,nan,nan,nan,nan,nan,nan,
uniform,262144,0.05,0.95,0,0,249037,249037,0,1621146125,6509.659709199837,3.1588438665740433,1.0,7.0,26.0,179.0,800,800,5395958,6744.9475,2.92375,1.0,6.0,23.0,51.0,0,0,nan,nan,nan,nan,nan,nan,
elastic,262144,0.05,0.95,0,0,249037,98307,1,192185625,1954.953614696817,1.849766547651744,1.0,4.0,9.0,26.0,800,800,831458,1039.3225,374.66,89.0,345.0,5145.0,20505.0,0,0,nan,nan,nan,nan,nan,nan,
funnel,262144,0.05,0.95,0,0,249037,249037,0,499010750,2003.7614892566164,12.42777177688456,9.0,27.0,42.0,52.0,800,800,1759584,2199.48,11.9175,9.0,26.0,41.00999999999999,47.0,0,0,nan,nan,nan,nan,nan,nan,
uniform,1048576,0.05,0.95,0,0,996148,996148,0,6835719625,6862.15263695756,3.1565078683087253,1.0,7.0,26.0,184.0,800,800,6567042,8208.8025,3.06875,1.0,6.0,25.019999999999982,53.0,0,0,nan,nan,nan,nan,nan,nan,
elastic,1048576,0.05,0.95,0,0,996148,393219,1,806549542,2051.1459059709728,1.8477159038601898,1.0,4.0,9.0,33.0,800,800,1018041,1272.55125,355.72,89.0,345.0,5193.16,5465.0,0,0,nan,nan,nan,nan,nan,nan,
funnel,1048576,0.05,0.95,0,0,996148,996148,0,2292503917,2301.3687895774524,12.422268578564632,9.0,27.0,42.0,52.0,800,800,2748917,3436.14625,12.64625,9.0,27.0,43.00999999999999,48.0,0,0,nan,nan,nan,nan,nan,nan,
uniform,16384,0.05,0.95,1,0,15565,15565,0,104180459,6693.251461612593,3.151300995823964,1.0,7.0,27.0,117.0,800,800,4939792,6174.74,2.845,1.0,6.0,23.019999999999982,64.0,0,0,nan,nan,nan,nan,nan,nan,
elastic,16384,0.05,0.95,1,0,15565,6147,1,13050625,2123.0884984545305,1.8448023426061493,1.0,4.0,9.0,26.0,800,800,568083,710.10375,347.38,89.0,345.0,5129.0,20489.0,0,0,nan,nan,nan,nan,nan,nan,
funnel,16384,0.05,0.95,1,0,15565,15565,0,31213959,2005.3940893029232,12.447542563443623,9.0,27.0,42.0,50.0,800,800,1751041,2188.80125,12.17625,9.0,27.100000000000023,43.01999999999998,46.0,0,0,nan,nan,nan,nan,nan,nan,
